key,field,en,source
Kiel_and_Leipzig_1699,imprint,"Kiel, Printed by Joachim Reumann, Academic Book Printer, at Johann Sebastian Riecheln, Academic Bookseller there, and available in Leipzig, In the year 1699.",summer_2025
Lyon_1690,title,"[Vol. 1]: R. P. CLAUDII FRANCISCI MILLIET DECHALES CAMBERENSIS OF THE SOCIETY OF JESUS COURSE OR MATHEMATICAL WORLD. FIRST VOLUME CONTAINING TREATISE.
ON THE PROGRESS OF MATHEMATICS AND ON Illustrious Mathematicians, Euclid's Fourteen Books, Theodosius's Spherics, Conic Sections, Arithmetic, Trigonometry, Algebra, & refutation of Cartesian Hypotheses. Second edition enlarged & corrected from the Author's Manuscripts, by the work & study of R.P. AMATI VARCIN of the same Society.",summer_2025
Lyon_1690,imprint,"[Vol. 1] LYONS, At ANISSONS, JOHN. POSUEL
& CLAUD. RIGAUD. 1690. WITH THE PRIVILEGE OF THE KING.",summer_2025
Cambridge_1655,title,"The Fifteen Books of Euclid's Elements, briefly demonstrated, by the work of IS. BARROW, Fellow of TRINITY College, CAMBRIDGE.",summer_2025
Cambridge_1655,imprint,"CAMBRIDGE: From the Press of the renowned University.
At the expense of William Nealand, Bookseller. A.D. 1655.",summer_2025
London_1659,title,"EUCLID'S ELEMENTS
Fifteen Books briefly demonstrated,
By the work of IS. BARROW,
of Cambridge, Fellow of TRINITY College.",summer_2025
London_1659,imprint,"LONDON, Printed by R. DANIEL, At the expense of GUIL. NEALAND Bookseller Cambridge. 1659.",summer_2025
Osnabrück_1676,title,"THE ELEMENTS OF EUCLID
Fifteen Books.
Briefly and succinctly demonstrated
By the work and study of Mr. Isaac Barrow,
of Cambridge,
FELLOW OF TRINITY COLLEGE.
Now in turn revised,
and purged of all errors.",summer_2025
Osnabrück_1676,imprint,OSNABRVGI At Johan. Georg. Schwänderum. Year 1676.,summer_2025
London_1678,title,"EUCLID'S ELEMENTS
Fifteen Books, briefly demonstrated,
By the work of IS. BARROW,
of Cambridge, Fellow of TRINITY College.
And now at last purged of previous typographical errors.",summer_2025
London_1678,imprint,"LONDON, Printed by J. Redmayne: Available however at J.
Williams at the Sign of the Crown in St. Paul's Churchyard, & J. Dunmore at the Sign of the Three Bibles in the street commonly called Ludgate-street, 1678.",summer_2025
London_1678,frontispiece,"The Geometric Elements of Euclid,
Demonstrated Almost Entirely
According to a New Order
and Method.

Engraved by W. Faithorne.

London,
Published by John Martyn at the Sign of the Bell,
in the Churchyard of St. Paul's. 1678.",summer_2025
London_1685,title,"EUCLID'S ELEMENTS Books XV. briefly demonstrated, By the work of IS. BARROW, of Cambridge, Fellow of TRIN. College. And now at last cleansed of previous typographical errors.",summer_2025
London_1685,imprint,"LONDON, At the shop of CHARLES MEARNE, Bookseller to the King.
1685.",summer_2025
London_1687,title,"THE FIFTEEN BOOKS OF EUCLID'S Elements. Briefly demonstrated, BY THE WORK OF IS. BARROW, of Cambridge, Fellow of TRINITY College. And now at last cleansed of previous typographical errors.",summer_2025
London_1687,imprint,LONDON: At Abel Swalle at the sign of the Unicorn in St. Paul's Churchyard. 1687.,summer_2025
Paris_1643,title,"THE INTRODVCTION
TO
MATHEMATICS:
Containing the knowledge, & prac-
tices necessary for those who are
beginning to learn
Mathematics.
The whole drawn from the Elements of Euclid arranged
& demonstrated in a manner more
brief, & easier than
usual.
By P. PIERRE BOURDIN, of the
Society of JESUS.",summer_2025
Paris_1643,imprint,"At FRANÇOIS PELICAN, St. Jacques Street, at the Pelican, near the College of the Jesuit Fathers. M. DC. XLIII. With the King's Privilege.",summer_2025
Milan_1671,title,"THE FIRST SIX BOOKS OF EUCLID TRANSLATED INTO THE VERNACULAR. DED-ICATED TO THE MOST ILLUSTRIOUS LORD COUNT VITALIANO BORROMEO
General of Artillery, and of the Secret Council of His Catholic Majesty, and Imperial Commissioner of His Majesty the Emperor in Italy.",summer_2025
Milan_1671,imprint,"IN MILAN, In the Press of Lodouico Monza. 1671. With permission of the Superiors, and Privilege.",summer_2025
Milan_1671,frontispiece,"The First
Six Books
of Euclid.",summer_2025
Paris_1683,title,"THE
ELEMENTS
OF EUCLID,
EXPLAINED IN A
new & very easy manner.
WITH THE USE OF EACH
Proposition for all parts
of Mathematics.
By P. CLAUDE FRANÇOIS
MILLET DECHALLES,
of the Society of JESUS.
NEW EDITION.",summer_2025
Paris_1683,imprint,"IN PARIS, At ESTIENNE MICHALLET, St. Jacques street at the Image St. Paul, near the Saint Severin Fountain. M. DC. LXXXIII. WITH PRIVILEGE OF THE KING.",summer_2025
Paris_1690,title,"THE
ELEMENTS
OF EUCLID,
EXPLAINED IN A NEW
and very easy MANNER.
WITH THE USE OF EACH
Proposition for all parts
of Mathematics.
By P. CLAUDE FRANÇOIS
MILLIET DECHALLES,
of the Society of JESUS.
NEW EDITION,
Revised & corrected.",summer_2025
Paris_1690,imprint,"IN PARIS, At ESTIENNE MICHALLET, first Printer to the King, St. Jacques street, at the Image of St. Paul. M. DC. XC. WITH PRIVILEGE OF THE KING.",summer_2025
Paris_1677a,title,"THE
ELEMENTS
OF EUCLID
EXPLAINED IN A
new & very easy manner.
WITH THE USE OF EACH
Proposition for all parts
of Mathematics.
BY P. CLAUDE FRANÇOIS
MILLIET DECHALES,
of the Society of JESUS.",summer_2025
Paris_1677a,imprint,"IN PARIS, At ESTIENNE MICHALLET, Saint Jacques street, at the Image of St. Paul, near the Saint Severin Fountain. M. DC. LXXVII WITH PRIVILEGE OF THE KING.",summer_2025
Augsburg_1555,title,"The seventh, eighth, and ninth book, of the highly renowned Mathematician Euclid of Megara, in which the operations and rules of all common calculations, cause, reason, and foundation, are shown, to please all those who love the art of calculation, by Master Johann Scheybl, of the honorable university of Tübingen, the ordinary of Euclid and Arithmetic, translated from Latin into German, and thus illustrated with common examples and published, so that every common calculator can easily understand and make use of it.",summer_2025
Augsburg_1555,imprint,"With Roman Royal Majesty's grace and freedom, not to be reprinted for six years. 1555.",summer_2025
Rotterdam_1661,title,"The first six Books of EUCLID, On the principles and foun-dations of Geometry. To which are added some utilities, drawn from the same Books: Together with the Species in Geometric figures, such as making, changing, combining, subtracting, multiplying, and dividing. Translated, explained, and elucidated for the advancement and practice of all eager Lovers of this free Art. BY JAN PIETERSZ DOU, Land surveyor and Wine gauger of the City of LEYDEN. Newly reviewed and improved: Together with the added utilities, with the species in Geometric figures more broadly explained and expanded, by the same Author.",summer_2025
Rotterdam_1661,imprint,"TO ROTTERDAM, By Abraham van Waesberge, Bookseller at the Steyger in the crowned Lion. 1661.",summer_2025
Amsterdam_1700b,title,"The first six Books of EUCLID, On the principles and foundations of Geometry. To which are added some utilities, drawn from the same Books: Together with the Species in Geometric figures, such as making, changing, combining, subtracting, multiplying, and dividing. Translated, explained, and laid out for the advancement and practice of all eager Lovers of the same free Art. BY JAN PIETERSZ. DOU, Land-surveyor and Wine-gauger of the City of LEYDEN. This latest Edition, newly reviewed and improved: Together with the added utilities, with the species in Geometric figures more broadly explained and expanded, by the same Author.",summer_2025
Amsterdam_1700b,imprint,"t’AMSTERDAM Printed, By HENDRIK BOTERENB-ROOT, Bookseller on the Water, directly across from the New Bridge, in the Delft Bible. 1700.",summer_2025
Amsterdam_1701,title,"The first six Books of EUCLID, On the principles and foundations of Geometry. To which are added some utilities, drawn from the same Books: Together with the Species in Geometric figures, such as making, changing, combining, subtracting, multiplying, and dividing. Translated, explained, and elucidated for the advancement and practice of all eager Lovers of the same free Art. BY JAN PIETERSZ. DOU, Land-surveyor and Wine-gauger of the City of LEYDEN. This latest Edition, newly reviewed and improved: Together with the added utilities, with the species in Geometric figures more broadly explained and expanded, by the same Author.",summer_2025
Amsterdam_1701,imprint,"t’AMSTERDAM Printed, By HENDRIK BOTERENB-ROOT, Bookseller on the Water, directly across from the New Bridge, in the Delft Bible. 1701.",summer_2025
Ansbach_1610,title,"The First Six Books of EUCLID'S Elements, In which the beginnings and foundations of Geometry are orderly taught and thoroughly demonstrated, With special diligence and effort translated from Greek into our High German language, and explained with understandable examples in lines and common rational numbers, Also with new figures, in the easiest and most proper way: All for the special benefit of those who have to use Geometry in calculation, military affairs, land surveying, construction, and other arts and crafts: By order of the Noble and Honorable Lord, Hans Philip Fuchss of Bimbach, at Möhrn, Alten Rechenberg and Schwaningen, Colonel: By SIMON MARIUS of Gunzenhausen, Franconia. Appointed Mathematician of the Princely Brandenburg, and Student of both Medicine.",summer_2025
Ansbach_1610,imprint,"WITH PRIVILEGE, Onoltzbach, Printed by Paulum Böhem, In the year of Christ, 1610.",summer_2025
Amsterdam_1662,title,"The 15 Books of the ELEMENTS Of Euclid. With brief explanations of some Propositions. Translated from the Latin, By FRANS VAN SCHOTEN, in his lifetime Professor of Mathematics at the University of Leiden. And now enlarged by J. V. L. with the sixteenth Book of Christophorus Clavius, faithfully translated from Latin, and enriched with an Appendix of the Foundations of Mathematical Names and Characters, commonly used in this Art for the benefit of Beginners.",summer_2025
Amsterdam_1662,imprint,"t’AMSTERDAM. By Iacob van Leest, on the Water in the Blue Crown. 1662.",summer_2025
Oxford_1701,title,"THE FIRST SIX BOOKS OF EUCLID'S ELEMENTS, ALSO
THE ELEVENTH & TWELFTH. From the Latin Version of FEDERICO COMMANDINO. For the use of Academic Youth.",summer_2025
Oxford_1701,imprint,"OXFORD, FROM THE SHELDONIAN THEATRE. At the expense of Henry Clements, Oxford Bookseller. 1701.",summer_2025
Paris_1598a,title,"THE SIX
FIRST
BOOKS OF THE ELEMENTS
OF EUCLID: TRANSLATED
& commented
BY
I. ERRARD of Bar-le-duc, Engineer of the Most
Christian KING of France & of Navarre.
Dedicated to his MAJESTY.",summer_2025
Paris_1598a,imprint,"IN PARIS, At WILLIAM AURAY'S, at the top of Saint Jean de Beauvais street at the crowned Bellerophon M.D.XCVIII. With the King's Privilege.",summer_2025
Paris_1605,title,"THE NINE
FIRST
BOOKS OF THE ELEMENTS
OF EUCLID: TRANSLATED
& COMMENTED
BY
I. ERRARD of Bar-le-duc, Engineer of the Most
Christian KING of France & of Navarre.
Dedicated to HIS MAJESTY.
Reviewed & corrected by the Author.",summer_2025
Paris_1605,imprint,"IN PARIS, At WILLIAM AURAY's, at the top of Saint Jean de Beauvais street, at the Crowned Bellerophon. 1605. With the King's Privilege.",summer_2025
Paris_1629,title,"THE NINE
FIRST
BOOKS OF THE ELEMENTS
OF EUCLID: TRANSLATED
& COMMENTED
BY
I. ERRARD of Bar-le-duc, Engineer of the Most
Christian King of France & of Navarre.
Dedicated to his MAJESTY.
Reviewed & corrected by the Author.",summer_2025
Paris_1629,imprint,"IN PARIS, At CARDIN BESONGNE, at the second pillar of the great Hall of the Palace. M. DC. XXIX.",summer_2025
Paris_1640,title,"TREATISE ON INCOMMENSURABLE
QUANTITIES:
WHERE SEVERAL
beautiful Questions of Rational
& Irrational Numbers are resolved.
THE ERRORS OF STEVIN
refuted.
AND THE TENTH BOOK OF EUCLID
illustrated with new demonstrations more
easy & more succinct than the
ordinary ones, & reduced to
62. Propositions.
WITH A DISCOURSE ON THE MANNER
of explaining the sciences in French, dedicated to the Gentlemen of
THE FRENCH ACADEMY.
I. N. T. Q. L.",summer_2025
Paris_1640,imprint,"IN PARIS From the Printing House of I. DEDIN, rue des Noyers at the little Shield. And sold At LOVYS BOULANGER, rue S. Jacques at the Image of Saint Louis in front of Saint Yves. And at AVGVSTIN COVRBE, Bookseller & Printer to His Lordship the King's only brother, in the small Hall of the Palace, at the Palm. M. DC. XL. WITH THE KING'S PRIVILEGE.",summer_2025
Paris_1565,title,"THE
SEVENTH, EIGHTH
AND NINTH, BOOKS
OF THE ELEMENTS OF EUCLID,
CONTAINING ALL THE SCIEN-
ce of numbers,
translated & com-
mented by Pierre Forcadel of
Beziers, ordinary lecturer
of the King in Mathema-
tics, at the uni-
versity of
Paris.",summer_2025
Paris_1565,imprint,"IN PARIS. At Charles Perier's, residing on S. Jean de Beauvais street, at the Bellerophon. 1565. WITH THE KING'S PRIVILEGE.",summer_2025
Paris_1564,title,"THE SIX
FIRST BOOKS
OF THE ELEMENTS OF EU-
CLID, TRANSLATED AND
COMMENTED BY PIERRE
Forcadel de Bezies, Ordinary Lecturer
of the King in Mathema-
tics at the University
of Paris.",summer_2025
Paris_1564,imprint,"IN PARIS, At Hierosme de Marnef, & Guillaume Cauellat, on Mount S. Hilaire, at the sign of the Pelican. 156[4].",summer_2025
Paris_1654a,title,"THE
ELEMENTS
OF EUCLID,
EXPLAINED
By R. P. G. FOURNIER, of the
Society of JESUS.
Dedicated
TO MONSIEUR THE CHEVALIER
DE MESMES.",summer_2025
Paris_1654a,imprint,"IN PARIS, At JEAN HENAVLT, Printer and Bookseller
Sworn, rue Saint Jacques, at the Guardian Angel, & at the Image of Saint Raphael.
M. DC. LIV. With the King's Privilege.",summer_2025
Brussels_1701,title,"THE FIRST SIX BOOKS, ELEVEN, AND TWELVE, OF THE GEOMETRIC ELEMENTS OF THE FAMOUS PHILOSOPHER
EUCLID OF MEGARA, Amplified with new Demonstrations, By the Sergeant General of Battle Don SEBASTIAN FERNANDEZ DE MEDRANO, Director of the Royal and Military Academy of the Low Countries. And Directed To the Most Excellent Lord Marquis of BEDMAR, and of ASSENTAR, &c.",summer_2025
Brussels_1701,imprint,"IN BRUSSELS. At the House of LAMBERTO MARCHANT
Merchant of Books to the Good Shepherd. WITH PRIVILEGE.",summer_2025
Seville_1576,title,"THE FIRST SIX BOOKS OF EUCLID'S GEOMETRY. Translated into the Spanish language by Rodrigo Zamorano, Astrologer and Mathematician, and Professor of Cosmography by His Majesty in the House of Trade of Seville. Directed to the illustrious Lord Luciano de Negron, Canon of the holy church of Seville.",summer_2025
Seville_1576,imprint,With license from the Royal Council. In Seville at the house of Alonso de la Barrera. 1576.,summer_2025
Brussels_1689,title,"GEOMETRIC ELEMENTS OF EUCLID, THE FIRST SIX BOOKS OF THE PLANES; AND THE ELEVENTH, AND TWELFTH OF THE SOLIDS: WITH SOME SELECT THEOREMS OF ARCHIMEDES. TRANSLATED, AND EXPLAINED BY P. JACOBO KRESA OF THE SOCIETY OF JESUS,
Professor of Mathematics at the Royal Studies of the Imperial College of Madrid; and interim in the Royal Navy in Cadiz.",summer_2025
Brussels_1689,imprint,"IN BRUSSELS By Francisco Foppens, year of 1689.",summer_2025
Lyon_1672,title,"THE SIX BOOKS OF THE ELEMENTS OF EUCLID MADE EASIER By R. P. CLAUDE FRANÇOIS MILLIET DECHALES, of the Society of JESUS.",summer_2025
Lyon_1672,imprint,"IN LYON, At BENOIST CORAL, Merciere street, at the Vic-tory. M. DC. LXXII. With the King's Privilege.",summer_2025
Paris_1682,title,"THE ELEMENTS OF EUCLID, EXPLAINED IN A new & very easy MANNER. WITH THE USE OF EACH Proposition for all parts of Mathematics. By P. CLAUDE FRANÇOIS MILLET DECHALLES, of the Society of JESUS. NEW EDITION.",summer_2025
Paris_1682,imprint,"IN PARIS, At ESTIENNE MICHALLET, St. Jacques street, at the Image St. Paul, near the Saint Severin Fountain. M. DC. LXXXII. WITH THE KING'S PRIVILEGE.",summer_2025
Amsterdam_1700,title,"THE ELEMENTS OF EUCLID, EXPLAINED IN A new & very easy MANNER. WITH THE USE OF EACH Proposition for all parts of Mathematics. By P. CLAUDE FRANÇOIS MILLET DECHALLES, of the Society of JESUS. NEW EDITION, Reviewed & corrected.",summer_2025
Amsterdam_1700,imprint,"AT AMSTERDAM. At the expense of ESTIENNE ROGER, Bookseller where one can find all sorts of Music. M. DCC.",summer_2025
Madrid_1665,title,SECOND PART OF THE ART AND USE OF ARCHITECTURE DEDICATED TO THE ABANDONMENT THAT MY REDEEMER JESUS CHRIST SUFFERED during the three hours he was alive nailed to the Tree of the Cross. WITH THE FIFTH AND SEVENTH books of Euclid translated from Latin into Romance AND THE DIFFICULT MEASUREMENTS OF Vaults and of the surfaces and cubic feet of Pools. WITH THE ORDINANCES OF The Imperial City of Toledo approved and Confirmed by the Imperial Majesty of Mr. Emperor Charles V of Glorious memory COMPOSED BY P. F. LAURENCE OF SAINT Nicholas Discalced Augustinian Architect and Master of works native of the very noble and crowned Town of Madrid.,summer_2025
Paris_1566a,title,"THE SIX
FIRST
BOOKS OF THE ELE-
ments of Euclid,
translated by
PIERRE FORCADEL
Reader to the King in Ma-
thematics.",summer_2025
Paris_1566a,imprint,"IN PARIS. At Charles Perier's, S. Iean de Beauuais street at Bellerophon. 1566.",summer_2025
Amsterdam_1702,title,"THE FIRST BOOKS OF THE ELEMENTS OF EUCLID
Demonstrated in a short and clear manner BY HENRICK COETS, Lecturer in MATHEMATICS at LEYDEN.",summer_2025
Amsterdam_1702,imprint,"TO AMSTERDAM, By HENRICK and the Widow of DIRCK BOOM. M. DCC. II.",summer_2025
Amsterdam_1702,frontispiece,"EUCLID'S
Six
First Books
Demonstrated
by
Henrick Coets
Lecturer in Mathematics.",summer_2025
Leiden_1617,title,"THE PROPOSITIONS of the xv. Books of the Elements of Euclid, Translated and compiled, with brief explanations of some propositions, BY F.V. SCHOOTEN, Professor of Mathematics at
Leiden.",summer_2025
Leiden_1617,imprint,"TO LEYDEN, BY GOVERT BASSON, 1617.",summer_2025
Siena_1691,title,"ELEMENTS OF EUCLID For the use of the NEW ACADEMY OF THE
NOBLES OF SIENA Demonstrated in a New Method, & succinctly by FR. ELIAS ASTORINO Carmelite from Cosenza. TO THE Most Serene PRINCE JOHN GASTON OF ETRURIA.",summer_2025
Siena_1691,imprint,SENIS At the Public Press of Bonettos 1691. WITH PERMISSION OF THE SUPERIORS.,summer_2025
Paris_1551,title,"Orontius Finæus of Delphi, Royal Professor of Mathematics at Paris, Demonstrations on the first six books of the Geometric Elements of Euclid of Megara, recently augmented and corrected: together with the Greek text of Euclid himself, and the Latin interpretation by Bartholomaeus Zamberti of Venice. All reviewed for geometric accuracy by the same Orontius. Third edition.",summer_2025
Paris_1551,imprint,"LUTETIAE PARISIORUM, At Reginald Calderius.
1551.",summer_2025
Paris_1536,title,"Orontius Fineus Delphinatus, Royal Professor of Mathematics,
DEMONSTRATIONS ON THE FIRST SIX BOOKS
of the geometric elements of Euclid of Megara.
In which the Greek text of Euclid himself is inserted in its proper places:
together with the Latin interpretation by Bartholomew Zamberti of Venice,
reviewed for geometric accuracy by the same Orontius.",summer_2025
Paris_1536,imprint,"WITH THE PRIVILEGE of the King for a decade, PARIS. At Simon de Colines. 1536.",summer_2025
Paris_1544,title,"ORONTIUS FINAEUS OF DAUPHINÉ, ROYAL PROFESSOR OF MATHE-
MATICS IN PARIS, Demonstrations on the first six books of the Ge-ometry elements of Euclid of Megara: Recently augmented, & corrected: together with the Greek text of Euclid himself, & the Latin interpretation by Bartholomew Zamberti of Venice. All reviewed according to geometric faith, by the same Orontius.",summer_2025
Paris_1544,imprint,"PARIS OF THE PARISIANS, At Simon de Colines.
1544. With the privilege of the King.",summer_2025
Pesaro_1619,title,"THE FIFTEEN BOOKS OF EUCLID'S ELEMENTS. TOGETHER WITH THE ANCIENT SCHOLIA TRANSLATED INTO LATIN BY FEDERICO COMMANDINO of Urbino. And recently freed from the many errors with which it was previously filled. DEDICATED TO THE MOST ILLUSTRIOUS AND REVEREND LORD CARLO MEDICI, CARDINAL OF THE HOLY ROMAN CHURCH AND MOST NOBLE PRINCE.",summer_2025
Pesaro_1619,imprint,"PISAVRI, Printed by Flaminio Concordia, 1619. WITH THE CONSENT OF THE SUPERIORS. At the expense of Guilielmus Ingenierus of Forosemproniensis.",summer_2025
Strasbourg_1564,title,"EUCLID'S FIFTEEN ELEMENTS, FROM THE COMMENTARIES OF THEON, the first. EVCLIDIS QVIN-DEcim Elementorum Geometriæ primum: from Theon's Commentaries in Greek, & Latin. To which have been added Scholia, in which those things pertaining to the understanding of the Elements of Geometry are briefly & clearly explained, by the author Conrad Dasypodius, professor of the Strasbourg School.",summer_2025
Strasbourg_1564,imprint,"ARGENTORATI
EXCVdebat Christianus Mylius, M. D. LXIIII.",summer_2025
Strasbourg_1564b,title,"PROPOSITIOnes of the remaining Books of Euclid's Geometry, in Greek & Latin, for the use of those who lack the volume of Euclid. By Cunradus Dasypodius, professor of the Strasbourg school.",summer_2025
Strasbourg_1564b,imprint,ARGENTORATI AT Christian Mylius. 1564.,summer_2025
Strasbourg_1566,title,"ANALYSIS OF THE GEOMETRIC Books of Euclid. THE FIRST AND FIFTH MADE BY CHRISTIAN HERLIN: THE REMAINING TOGETHER WITH COMMENTARIES, & Brief Notes on the same six Geometric books: by Conrad Dasypodius. WITH AN INDEX OF Propositions and Lemmas: also of other memorable things and words. FOR THE STRASBOURG SCHOOL.",summer_2025
Strasbourg_1566,imprint,With the Grace & Privilege of the Emperor for eight years. PRINTED BY JOSIAS RIHELIUS. 1566.,summer_2025
Strasbourg_1564a,title,"OF EUCLID
THE FIFTEEN ELEMENTS
compiled from the writings of Theon
the second edition.

And
THE MONK BARLAAM’S
arithmetical demonstration of the geometrical
propositions accepted in the
second book of the Elements.

That is,
THE FIFTEEN BOOKS
of Euclid’s Elements of Geometry: according to
the commentaries of Theon,
in Greek and Latin.

Also,
An arithmetical demonstration by the monk Barlaam
of those things which, in the second book of the Elements,
are demonstrated in lines and plane figures.

Also,
Eight propositions of Stereometry, on the same subject as the pre-
ceding material. By Conrad Dasypodius,
Professor at the School of Strasbourg.",summer_2025
Strasbourg_1564a,imprint,ARGENTORATI AT Christian Mylius. 1564.,summer_2025
Bologna_1651,title,OF THE ELEMENTS OF EUCLID The First Six Books Translated into Italian. TO THE MOST ILLUSTRIOUS SENATE OF BOLOGNA.,summer_2025
Bologna_1651,imprint,"In Bologna, at Gio. Batt. Ferroni 1651. With permission of the Superiors.",summer_2025
Bologna_1651a,title,OF THE ELEMENTS OF EUCLID The First Six Books Translated into Italian TO THE MOST ILLUSTRIOUS SENATE OF BOLOGNA.,summer_2025
Bologna_1651a,imprint,"In Bologna, for Gioseffo Longhi. With permission of the Superiors.",summer_2025
Amsterdam_1683,title,"ELEMENTS OF PLANE AND SOLID GEOMETRY. To which
are added selected THEOREMS FROM ARCHIMEDES. By the author AN-DREA TACQUET, PRIEST OF THE SOCIETY OF JESUS & PROFESSOR OF MATHEMATICS. NEW EDITION.",summer_2025
Amsterdam_1683,imprint,"AMSTERDAM, By HENRY WETSTEN. 1683.",summer_2025
